Transaction ID,Salesperson,Date,Payment Month,Status,Revenue,Company Name
64,Simonson,07/01/2024,Mar,New,3900,Powell Motors
65,Moll,07/01/2024,Mar,Lapsed,23700,Roboto Industries
66,Simonson,08/01/2024,Mar,New,3480,London and West Coast Railway
67,Kroll,08/01/2024,Mar,New,27060,Virtucon
68,Palacios,08/01/2024,Mar,Lapsed,9060,QWERTY Logistics
69,Ahmad,08/01/2024,Mar,New,25260,Trans Global Airlines
70,Schwarz,08/01/2024,Mar,New,15930,Mainway Toys
71,Parrish,08/01/2024,Mar,Lapsed,10050,Incom Corporation
72,Schwarz,08/01/2024,Mar,Existing,2370,Demo Company
73,Simonson,08/01/2024,Mar,New,11400,Edgars Industries
74,Levy,08/01/2024,Mar,New,4200,St. Anky Beer
75,Kroll,08/01/2024,Mar,Existing,18390,Sixty Second Avenue
76,Schwarz,08/01/2024,Mar,Existing,18990,Mainway Toys
77,Moll,09/01/2024,Mar,Lapsed,24120,Universal Exports
78,Simonson,09/01/2024,Mar,Lapsed,27900,General Products
79,Moll,09/01/2024,Mar,Existing,24330,Big Belly Burger
80,Baines,09/01/2024,Mar,Lapsed,14370,Global Dynamics
81,Hitchcock,09/01/2024,Mar,New,27900,United Robotronics
82,Kroll,09/01/2024,Mar,Existing,6810,Rouster and Sideways
83,Vincent,09/01/2024,Mar,Lapsed,7890,Sto Plains Holdings
84,Pritchett,09/01/2024,Mar,New,24450,Zevo Toys
85,Levy,09/01/2024,Mar,Lapsed,24990,ABC Telecom
86,Hall,09/01/2024,Mar,Lapsed,23010,C.H. Lavatory and Sons
87,Moll,09/01/2024,Mar,New,21330,The New Firm
88,Palacios,09/01/2024,Mar,Lapsed,2430,Leeding Engines Ltd.
89,Hitchcock,09/01/2024,Mar,Lapsed,13500,Bluth Company
90,Ahmad,10/01/2024,Mar,New,12870,SpringShield
91,Pritchett,10/01/2024,Mar,New,12120,Klimpys
92,Hitchcock,10/01/2024,Apr,New,5970,Widget Corp
93,Kroll,10/01/2024,Apr,New,1500,Globo-Chem
94,Kroll,10/01/2024,Apr,Existing,19980,Springfield Nuclear Power Plant
95,Vincent,10/01/2024,Apr,New,22020,Blarg Factory
96,Batiste,10/01/2024,Apr,Lapsed,28110,Tessier-Ashpool
97,Vincent,10/01/2024,Apr,Lapsed,21150,Videlectrix
98,Hitchcock,10/01/2024,Apr,Existing,9690,Big Belly Burger
99,Simonson,10/01/2024,Apr,Existing,16470,Cathedral Software
100,Schwarz,10/01/2024,Apr,Existing,12180,Zorg Industries
101,Levy,10/01/2024,Apr,Existing,2430,Trans American Airlines
102,Gilman,10/01/2024,Apr,Existing,15750,Thrift Bank
103,Levy,11/01/2024,Apr,Lapsed,21690,Arlesdale Railway
104,Schwarz,11/01/2024,Apr,New,28950,Quantum Airlines
105,Hitchcock,11/01/2024,Apr,Lapsed,23730,Big T Burgers and Fries
106,Vincent,11/01/2024,Apr,Existing,20730,Global Airways
107,Moll,11/01/2024,Apr,Existing,5370,Arlesdale Railway
108,Vincent,11/01/2024,Apr,Existing,28590,Ankh-Sto Associates
109,Batiste,11/01/2024,Apr,New,4410,Canada World Airways
110,Moll,11/01/2024,Apr,New,17100,Onion Pacific Railroad
111,Vincent,11/01/2024,Apr,Existing,7590,Bluth Company
112,Moll,12/01/2024,Apr,New,24330,TetraCorp
113,Parrish,12/01/2024,Apr,New,5670,Gizmonic Institute
114,Ahmad,12/01/2024,Apr,Lapsed,18510,Federation World Airlines
115,Pritchett,12/01/2024,Apr,Existing,6810,ZiffCorp
116,Batiste,12/01/2024,Apr,Lapsed,23130,General Products
117,Palacios,12/01/2024,Apr,New,13050,Quark Industries
118,Baines,12/01/2024,Apr,Lapsed,15240,Zevo Toys
119,Moll,12/01/2024,Apr,New,4020,Sample Inc.
120,Batiste,12/01/2024,Apr,Existing,6960,Globo-Chem
121,Schwarz,12/01/2024,Apr,Existing,9690,Minco
122,Moll,12/01/2024,May,Existing,4230,Global Airways
123,Baines,12/01/2024,May,Existing,22800,Acme Corp
124,Moll,12/01/2024,May,New,15510,Klimpys
125,Ahmad,13/01/2024,May,New,3870,Kumatsu Motors
126,Gilman,13/01/2024,May,Existing,25740,NorthAm Robotics
127,Parrish,13/01/2024,May,Existing,25470,Cyberdyne Systems
128,Hitchcock,13/01/2024,May,Existing,12540,Zevo Toys
129,Baines,13/01/2024,May,New,22920,Sixty Second Avenue
130,Hitchcock,13/01/2024,May,Existing,6810,Springfield Nuclear Power Plant
131,Simonson,13/01/2024,May,New,25200,Springfield Nuclear Power Plant
132,Pritchett,13/01/2024,May,New,14520,Water and Power
133,Simonson,13/01/2024,May,New,4200,Contoso Corporation
134,Batiste,13/01/2024,May,New,17580,Springfield Nuclear Power Plant
135,Hitchcock,13/01/2024,May,Existing,17520,Input Inc.
136,Gilman,14/01/2024,May,Lapsed,21600,Minuteman Cafe
137,Hitchcock,14/01/2024,May,Existing,17250,Western Gas & Electric
138,Baines,14/01/2024,May,New,19650,XYZ Corp
139,Simonson,14/01/2024,May,Existing,23100,Zorin Industries
140,Simonson,14/01/2024,May,Existing,23250,Oceanic Airlines
141,Pritchett,14/01/2024,May,Existing,15330,Zevo Toys
142,Moll,14/01/2024,May,New,20550,Northern & Southern Railway
143,Hitchcock,14/01/2024,May,Existing,10770,Colonial Movers
144,Pritchett,14/01/2024,May,Lapsed,20760,Trans Allied Airlines
145,Levy,14/01/2024,May,Existing,10710,The Drunken Clam
146,Moll,14/01/2024,May,New,18090,Rouster and Sideways
147,Vincent,15/01/2024,May,Lapsed,25620,Sombra Corporation
148,Pritchett,15/01/2024,May,Existing,15090,The Lanford Lunch Box
149,Kroll,15/01/2024,May,Lapsed,16770,Union Aerospace Corporation
150,Gilman,15/01/2024,May,Existing,5730,United Fried Chicken
151,Batiste,15/01/2024,May,Lapsed,23100,U.S. Robotics and Mechanical Men
152,Baines,15/01/2024,May,Lapsed,23100,Fabrikam Corporation
153,Batiste,15/01/2024,Jun,New,11910,Bad Wolf Corporation
154,Kroll,15/01/2024,Jun,New,27090,Incom Corporation
155,Gilman,15/01/2024,Jun,New,17790,Mainway Toys
156,Baines,15/01/2024,Jun,New,2550,Keedsler Motors
157,Baines,16/01/2024,Jun,Existing,16620,Fabrikam Corporation
158,Schwarz,16/01/2024,Jun,New,4170,OmniCo
159,Palacios,16/01/2024,Jun,New,6720,Trans Global Airlines
160,Kroll,16/01/2024,Jun,Lapsed,4560,123 Warehousing
161,Parrish,16/01/2024,Jun,New,2850,Trans American Airlines
162,Schwarz,16/01/2024,Jun,Existing,11010,Global Airways
163,Parrish,16/01/2024,Jun,Lapsed,23850,Megadodo Publications
164,Simonson,16/01/2024,Jun,Lapsed,2460,Extensive Enterprise
165,Hitchcock,16/01/2024,Jun,New,24060,Nordyne Defense Dynamics
166,Simonson,17/01/2024,Jun,New,10770,Atlantic Northern
167,Pritchett,17/01/2024,Jun,Lapsed,26160,The Hanso Foundation
168,Hall,17/01/2024,Jun,Existing,26190,General Services Corporation
169,Parrish,17/01/2024,Jun,New,12090,Spade and Archer
170,Vincent,17/01/2024,Jun,New,28290,Atlantic Corporation
171,Gilman,17/01/2024,Jun,New,17760,Blue Sun Corporation
172,Batiste,17/01/2024,Jun,Existing,4020,Milliways
173,Simonson,17/01/2024,Jun,New,11790,Widget Corp
174,Ahmad,17/01/2024,Jun,Existing,20340,Wayne Enterprises
175,Kroll,17/01/2024,Jun,New,11640,Northern & Southern Railway
176,Levy,17/01/2024,Jun,New,15240,Primatech Paper Co.
177,Gilman,17/01/2024,Jun,Existing,21480,Roxxon
178,Baines,17/01/2024,Jun,Existing,22770,KrebStar
179,Palacios,18/01/2024,Jun,Existing,18240,United Fried Chicken
180,Baines,18/01/2024,Jun,New,18120,Energy Corporation
181,Ahmad,18/01/2024,Jun,New,22350,Kumatsu Motors
182,Schwarz,18/01/2024,Jun,New,21930,Bluth Company
183,Palacios,18/01/2024,Jul,Existing,17490,Megadodo Publications
184,Levy,18/01/2024,Jul,New,10500,Quark Industries
185,Parrish,18/01/2024,Jul,New,16020,Demo Inc.
186,Moll,18/01/2024,Jul,Existing,5340,Wernham Hogg
187,Hall,18/01/2024,Jul,New,8910,Gringotts
188,Parrish,18/01/2024,Jul,Existing,21120,The Hanso Foundation
189,Pritchett,18/01/2024,Jul,Existing,19920,Liandri Mining Corporation
190,Ahmad,19/01/2024,Jul,New,23700,Global Airways
191,Hall,19/01/2024,Jul,New,12330,Zevo Toys
192,Vincent,19/01/2024,Jul,Existing,21870,Globo-Chem
193,Vincent,19/01/2024,Jul,Lapsed,16350,Demo Inc.
194,Parrish,19/01/2024,Jul,Lapsed,11460,Ewing Oil
195,Levy,20/01/2024,Jul,New,6570,TriOptimum Corporation
196,Kroll,20/01/2024,Jul,Existing,28170,Kumatsu Motors
197,Vincent,20/01/2024,Jul,Lapsed,19050,Osato Chemicals
198,Schwarz,20/01/2024,Jul,Existing,4230,North Western Railway
199,Kroll,20/01/2024,Jul,Existing,25830,The Lanford Lunch Box
200,Baines,20/01/2024,Jul,Lapsed,22080,Brown Streak Railroad
201,Batiste,20/01/2024,Jul,Existing,3030,Leeding Engines Ltd.
202,Moll,20/01/2024,Jul,Existing,9390,InGen Corporation
203,Kroll,20/01/2024,Jul,Lapsed,27600,Sirius Cybernetics Corporation
204,Ahmad,20/01/2024,Jul,New,1770,Rossum Corporation
205,Moll,20/01/2024,Jul,New,3330,Sombra Corporation
206,Simonson,20/01/2024,Jul,Existing,26880,KrebStar
207,Palacios,21/01/2024,Jul,Existing,26010,London and West Coast Railway
208,Simonson,21/01/2024,Jul,Existing,7980,123 Warehousing
209,Hall,21/01/2024,Jul,New,14700,Data Systems
210,Hall,21/01/2024,Jul,New,25050,General Forge and Foundry
211,Parrish,21/01/2024,Jul,New,29700,Bluth Company
212,Vincent,21/01/2024,Jul,New,8580,Initrode
213,Schwarz,21/01/2024,Jul,Lapsed,27000,Sheinhardt Wig Company
214,Hitchcock,21/01/2024,Aug,Existing,12480,North Central Positronics
215,Vincent,21/01/2024,Aug,Existing,4680,Minuteman Cafe
216,Ahmad,21/01/2024,Aug,New,6270,Primatech Paper Co.
217,Palacios,21/01/2024,Aug,Lapsed,14340,Galaxy Corp
218,Kroll,22/01/2024,Aug,Existing,18480,Globex Corporation
219,Baines,22/01/2024,Aug,New,19320,Trans Regional Airlines
220,Schwarz,22/01/2024,Aug,New,26460,The Drunken Clam
221,Levy,22/01/2024,Aug,Lapsed,6330,Blarg Factory
222,Hall,22/01/2024,Aug,Lapsed,21390,Praxis Corporation
223,Palacios,22/01/2024,Aug,Existing,19620,Bad Wolf Corporation
224,Hitchcock,22/01/2024,Aug,New,18630,Sixty Second Avenue
225,Vincent,22/01/2024,Aug,Lapsed,2370,Queen Industries
226,Levy,22/01/2024,Aug,New,23520,Sample Company
227,Vincent,22/01/2024,Aug,Lapsed,21840,Global Dynamics
228,Baines,23/01/2024,Aug,Existing,8640,Charles Townsend Agency
229,Batiste,23/01/2024,Aug,New,2850,Mainco
230,Levy,23/01/2024,Aug,Existing,26790,Gizmonic Institute
231,Baines,23/01/2024,Aug,Existing,18870,United Fried Chicken
232,Kroll,23/01/2024,Aug,New,11730,Buy and Large Corporation
233,Simonson,23/01/2024,Aug,New,11880,Onion Pacific Railroad
234,Simonson,23/01/2024,Aug,New,22560,Kumatsu Motors
235,Schwarz,23/01/2024,Aug,Existing,1770,SpringShield
236,Baines,23/01/2024,Aug,New,3150,Galaxy Corp
237,Baines,23/01/2024,Aug,Lapsed,5790,Liandri Mining Corporation
238,Vincent,23/01/2024,Aug,Existing,9810,Fake Brothers
239,Kroll,23/01/2024,Aug,New,1920,OmniCo
240,Hall,23/01/2024,Aug,Existing,26970,Water and Power
241,Pritchett,23/01/2024,Aug,Existing,2070,The New Firm
242,Simonson,23/01/2024,Aug,Existing,24720,Ewing Oil
243,Pritchett,23/01/2024,Aug,Lapsed,21840,Keedsler Motors
244,Levy,24/01/2024,Aug,Lapsed,27450,Rossum Corporation
245,Batiste,24/01/2024,Sep,Existing,10620,Energy Corporation
246,Palacios,24/01/2024,Sep,Existing,20010,Monarch Playing Card Co.
247,Moll,24/01/2024,Sep,Existing,22710,Atlantic Corporation
248,Vincent,24/01/2024,Sep,New,2550,Culdee Fell Railway
249,Simonson,24/01/2024,Sep,New,21510,Slate Rock and Gravel Company
250,Levy,24/01/2024,Sep,New,23580,Trans United Airways
251,Hall,24/01/2024,Sep,New,29880,Colonial Movers
252,Hitchcock,24/01/2024,Sep,Existing,20340,Energy Corporation
253,Moll,24/01/2024,Sep,New,10260,VersaLife Corporation
254,Ahmad,24/01/2024,Sep,Existing,4110,Sto Plains Holdings
255,Palacios,24/01/2024,Sep,New,6330,Jupiter Mining Corporation
256,Ahmad,24/01/2024,Sep,New,11520,Global Dynamics
257,Hall,24/01/2024,Sep,Existing,7800,CC Corporation
258,Simonson,24/01/2024,Sep,Existing,1980,Blammo Corp
259,Hall,24/01/2024,Sep,New,8130,Caliban Industries
260,Ahmad,24/01/2024,Sep,New,9420,Onion Pacific Railroad
261,Simonson,24/01/2024,Sep,Lapsed,1590,Milliways
262,Ahmad,24/01/2024,Sep,Existing,22020,Queen Industries
263,Vincent,24/01/2024,Sep,Existing,4560,Uplink Corporation
264,Ahmad,24/01/2024,Sep,Lapsed,17190,Arlesdale Railway
265,Vincent,25/01/2024,Sep,Existing,20850,Atlantic Corporation
266,Hall,25/01/2024,Sep,Existing,12900,ABC Telecom
267,Kroll,25/01/2024,Sep,New,15750,Chez Quis
268,Batiste,25/01/2024,Sep,Existing,4860,Judgment Six
269,Pritchett,25/01/2024,Sep,Existing,5040,Corellian Engineering Corporation
270,Moll,26/01/2024,Sep,New,26820,Trade Federation
271,Batiste,26/01/2024,Sep,Existing,6480,TriOptimum Corporation
272,Pritchett,26/01/2024,Sep,Lapsed,8040,Big Belly Burger
273,Pritchett,26/01/2024,Sep,New,13950,Rouster and Sideways
274,Levy,26/01/2024,Sep,Existing,28560,PediaCorp
275,Ahmad,26/01/2024,Oct,New,20640,TranCon Airways
276,Batiste,26/01/2024,Oct,Existing,8070,Thatherton Fuels
277,Hitchcock,26/01/2024,Oct,Existing,29070,Monks Diner
278,Vincent,26/01/2024,Oct,New,20790,Stark Industries
279,Batiste,27/01/2024,Oct,Lapsed,16230,Oceanic Airlines
280,Gilman,27/01/2024,Oct,New,27360,Megadodo Publications
281,Levy,27/01/2024,Oct,Lapsed,2850,Umbrella Corporation
282,Batiste,27/01/2024,Oct,Lapsed,19830,Widget Corp
283,Parrish,27/01/2024,Oct,New,11220,Monks Diner
284,Gilman,27/01/2024,Oct,New,8010,Sample Company
285,Hall,27/01/2024,Oct,Lapsed,16380,TetraCorp
286,Palacios,27/01/2024,Oct,Existing,23250,Cyberdyne Systems
287,Gilman,27/01/2024,Oct,New,4440,The Hanso Foundation
288,Levy,27/01/2024,Oct,New,12600,Brown Streak Railroad
289,Baines,27/01/2024,Oct,Existing,8730,Bluth Company
290,Gilman,27/01/2024,Oct,New,16950,Tip Top Cafe
291,Pritchett,27/01/2024,Oct,Existing,6030,Water and Power
292,Palacios,27/01/2024,Oct,New,15120,Oceanic Airlines
293,Levy,27/01/2024,Oct,Existing,28350,Primatech
294,Moll,27/01/2024,Oct,New,29010,Primatech
295,Pritchett,27/01/2024,Oct,Existing,29910,LexCorp
296,Ahmad,27/01/2024,Oct,Existing,10500,KrebStar
297,Schwarz,27/01/2024,Oct,New,1560,Global Dynamics
298,Schwarz,27/01/2024,Oct,Lapsed,17460,Liandri Mining Corporation
299,Levy,28/01/2024,Oct,New,17610,Data Systems
300,Hitchcock,28/01/2024,Oct,New,5400,Blue Sun Corporation
301,Ahmad,28/01/2024,Oct,Existing,7770,The Dot Grill
302,Kroll,28/01/2024,Oct,New,3000,Widget Corp
303,Hall,28/01/2024,Oct,Lapsed,4710,Virtucon
304,Parrish,28/01/2024,Oct,Existing,11460,Ewing Oil
305,Parrish,28/01/2024,Oct,New,11250,Smith and Co.
306,Hall,28/01/2024,Nov,Lapsed,26790,Oceanic Airlines
307,Moll,28/01/2024,Nov,New,19500,Mainway Toys
308,Schwarz,28/01/2024,Nov,Existing,13260,Keedsler Motors
309,Levy,28/01/2024,Nov,Existing,16770,Zorin Industries
310,Schwarz,28/01/2024,Nov,New,18060,Wernham Hogg
311,Vincent,28/01/2024,Nov,Existing,8670,Oceanic Airlines
312,Parrish,29/01/2024,Nov,Existing,9660,Trans Regional Airlines
313,Moll,29/01/2024,Nov,Existing,18750,Primatech Paper Co.
314,Hall,29/01/2024,Nov,New,28620,Massive Dynamic
315,Baines,29/01/2024,Nov,New,15510,Data Systems
316,Parrish,29/01/2024,Nov,New,13800,Petrox Oil Company
317,Hitchcock,29/01/2024,Nov,New,29700,Megadodo Publications
318,Kroll,29/01/2024,Nov,Existing,4650,Gringotts
319,Batiste,29/01/2024,Nov,Existing,12150,Mainway Toys
320,Kroll,29/01/2024,Nov,New,4860,Carrys Candles
321,Hitchcock,30/01/2024,Nov,Lapsed,1620,Data Systems
322,Ahmad,30/01/2024,Nov,New,11850,Demo Inc.
323,Baines,30/01/2024,Nov,New,18630,Keedsler Motors
324,Pritchett,30/01/2024,Nov,Lapsed,19230,Minuteman Cafe
325,Palacios,30/01/2024,Nov,Existing,4050,Universal Exports
326,Levy,30/01/2024,Nov,Existing,17160,Smith and Co.
327,Schwarz,30/01/2024,Nov,New,20040,Primatech Paper Co.
328,Kroll,30/01/2024,Nov,New,22050,St. Anky Beer
329,Ahmad,30/01/2024,Nov,New,2910,Chez Quis
330,Gilman,30/01/2024,Nov,Existing,29550,General Services Corporation
331,Simonson,30/01/2024,Nov,Lapsed,20910,Sonky Rubber Goods
332,Batiste,30/01/2024,Nov,New,5010,Mainway Toys
333,Vincent,31/01/2024,Nov,Existing,25440,Zevo Toys
334,Moll,31/01/2024,Nov,Existing,3300,LexCorp
335,Baines,31/01/2024,Nov,New,13110,Quantum Airlines
336,Vincent,31/01/2024,Dec,New,19950,InGen Corporation
337,Gilman,31/01/2024,Dec,Existing,15450,Sixty Second Avenue
338,Gilman,31/01/2024,Dec,New,11730,Sombra Corporation
339,Hitchcock,31/01/2024,Dec,Existing,26460,Allied Biscuit
340,Gilman,31/01/2024,Dec,New,15450,Crudgington Brewery
341,Parrish,31/01/2024,Dec,New,7950,Stark Industries
342,Vincent,31/01/2024,Dec,Existing,12330,Ajax Corporation
343,Ahmad,31/01/2024,Dec,New,6540,Sheinhardt Wig Company
344,Gilman,01/02/2024,Dec,Existing,21510,Demo Inc.
345,Palacios,01/02/2024,Dec,Existing,9750,North Central Positronics
346,Kroll,01/02/2024,Dec,Existing,2940,Carrys Candles
347,Batiste,01/02/2024,Dec,Lapsed,19020,Benthic Petroleum
348,Gilman,01/02/2024,Dec,Existing,21090,Megadodo Publications
349,Moll,01/02/2024,Dec,Lapsed,10770,General Products
350,Schwarz,01/02/2024,Dec,New,3420,Wayne Enterprises
351,Batiste,01/02/2024,Dec,Lapsed,15450,Stark Industries
352,Schwarz,01/02/2024,Dec,Existing,7890,ZiffCorp
353,Ahmad,01/02/2024,Dec,Existing,20370,Leeding Engines Ltd.
354,Hall,01/02/2024,Dec,New,18420,McMahon and Tate
355,Pritchett,01/02/2024,Dec,Existing,18570,Western Gas & Electric
356,Vincent,01/02/2024,Dec,New,16860,Sonky Rubber Goods
357,Hall,01/02/2024,Dec,Lapsed,23100,Trans Allied Airlines
358,Baines,02/02/2024,Dec,Existing,8010,Liandri Mining Corporation
359,Parrish,02/02/2024,Dec,New,6060,St. Anky Beer
360,Hall,02/02/2024,Dec,New,5580,ABC Corp
361,Palacios,02/02/2024,Dec,Existing,23280,Data Systems
362,Vincent,02/02/2024,Dec,Lapsed,7950,Fake Brothers
363,Parrish,03/02/2024,Dec,New,18630,Wayne Enterprises
364,Batiste,03/02/2024,Dec,New,8850,Trans American Airlines
365,Schwarz,03/02/2024,Dec,New,28200,Cyberdyne Systems
366,Batiste,03/02/2024,Dec,New,24210,KrebStar
367,Hall,03/02/2024,Jan,Lapsed,27090,Zorin Industries
368,Palacios,03/02/2024,Jan,Existing,27870,Praxis Corporation
369,Moll,03/02/2024,Jan,New,29220,Trans Regional Airlines
370,Pritchett,03/02/2024,Jan,New,8610,Thrift Bank
371,Vincent,03/02/2024,Jan,Existing,6750,Trans Global Airlines
372,Ahmad,03/02/2024,Jan,New,21030,Mammoth Pictures
373,Kroll,03/02/2024,Jan,New,21480,Paradise Airlines
374,Hitchcock,03/02/2024,Jan,Existing,7650,Jupiter Mining Corporation
375,Vincent,04/02/2024,Jan,New,26820,InGen Corporation
376,Ahmad,04/02/2024,Jan,New,26970,Gringotts
377,Baines,04/02/2024,Jan,Existing,17700,Smith and Co.
378,Schwarz,04/02/2024,Jan,New,15060,Fake Brothers
379,Hall,04/02/2024,Jan,New,14910,Megadodo Publications
380,Gilman,04/02/2024,Jan,Existing,20880,C.H. Lavatory and Sons
381,Vincent,04/02/2024,Jan,Lapsed,5790,Axis Chemical Co.
382,Gilman,04/02/2024,Jan,New,7830,Smith and Co.
383,Batiste,04/02/2024,Jan,Existing,28830,Flowers By Irene
384,Hall,04/02/2024,Jan,New,17430,Stark Industries
385,Ahmad,04/02/2024,Jan,New,7860,Judgment Six
386,Batiste,04/02/2024,Jan,New,23850,Federation World Airlines
387,Moll,04/02/2024,Jan,Existing,25380,Universal Exports
388,Moll,04/02/2024,Jan,Existing,8340,Curious Goods
389,Batiste,05/02/2024,Jan,Lapsed,26700,Culdee Fell Railway
390,Ahmad,05/02/2024,Jan,Existing,25380,Foo Bars
391,Moll,05/02/2024,Jan,New,14340,Smith and Co.
392,Kroll,05/02/2024,Jan,Existing,26250,Energy Corporation
393,Pritchett,05/02/2024,Jan,Existing,15300,Fabrikam Corporation
394,Moll,05/02/2024,Jan,Existing,19980,C.H. Lavatory and Sons
395,Gilman,05/02/2024,Jan,New,16260,Energy Corporation
396,Palacios,05/02/2024,Jan,New,9690,Rouster and Sideways
397,Hitchcock,05/02/2024,Jan,Lapsed,25770,Biffco
398,Parrish,05/02/2024,Feb,New,24150,Chez Quis
399,Palacios,05/02/2024,Feb,Existing,5370,Wernham Hogg
400,Palacios,05/02/2024,Feb,New,12960,SpringShield
401,Parrish,05/02/2024,Feb,Existing,15330,Barrytron
402,Hall,05/02/2024,Feb,New,20130,Trans United Airways
403,Hall,06/02/2024,Feb,New,22740,Northern & Southern Railway
404,Simonson,06/02/2024,Feb,New,8370,Osato Chemicals
405,Baines,06/02/2024,Feb,Existing,19770,Blue Sun Corporation
406,Parrish,06/02/2024,Feb,New,4860,TranCon Airways
407,Palacios,06/02/2024,Feb,New,7500,Gadgetron
408,Simonson,06/02/2024,Feb,Existing,13050,TriOptimum Corporation
409,Hitchcock,06/02/2024,Feb,New,12960,Smith and Co.
410,Palacios,06/02/2024,Feb,New,21390,Kumatsu Motors
411,Moll,06/02/2024,Feb,Existing,8940,Contoso Corporation
412,Hall,07/02/2024,Feb,Existing,22740,Ace Tomato Company
413,Moll,07/02/2024,Feb,Existing,25740,Sudden Pacific Railroad
414,Moll,07/02/2024,Feb,Existing,19140,Ajax Corporation
415,Moll,07/02/2024,Feb,Lapsed,18750,ABC Telecom
416,Pritchett,07/02/2024,Feb,New,21510,Matsumura Fishworks
417,Vincent,07/02/2024,Feb,New,20730,Allied Biscuit
